,MMSI,BaseDateTime,LAT,LON,SOG,COG
2100527,316001251,2019-01-01T07:23:33,49.26,-123.76033,18.7,251.2
2105035,316001251,2019-01-01T07:20:19,49.26538,-123.73604,18.7,251.0
2113446,316001251,2019-01-01T07:24:44,49.25804,-123.76924,18.6,251.4
2120321,316001251,2019-01-01T07:25:47,49.25619,-123.77696,18.7,248.8
2123603,316001251,2019-01-01T07:26:56,49.25413,-123.78554,18.8,248.4
2129522,316001251,2019-01-01T07:27:58,49.25223,-123.79322,18.7,249.6
2135552,316001251,2019-01-01T07:29:20,49.2497,-123.8035,18.7,249.8
2140758,316001251,2019-01-01T07:30:22,49.24777,-123.81116,18.7,249.9
2146057,316001251,2019-01-01T07:31:32,49.24559,-123.81983,18.8,248.8
2151099,316001251,2019-01-01T07:32:34,49.24366,-123.82752,18.9,248.3
2157081,316001251,2019-01-01T07:33:44,49.24146,-123.83619,18.7,249.2
2162185,316001251,2019-01-01T07:34:46,49.23942,-123.8438,18.8,245.9
2168525,316001251,2019-01-01T07:35:56,49.2371,-123.85221,18.7,246.8
2177036,316001251,2019-01-01T07:36:58,49.23475,-123.85962,18.7,244.4
2184013,316001251,2019-01-01T07:38:08,49.23211,-123.86808,18.6,245.7
2190545,316001251,2019-01-01T07:39:10,49.23005,-123.87563,18.7,247.1
2194344,316001251,2019-01-01T07:40:32,49.22718,-123.88556,18.6,246.5
2198243,316001251,2019-01-01T07:41:34,49.22489,-123.89282,18.7,239.6
2207139,316001251,2019-01-01T07:43:46,49.21846,-123.90733,18.7,235.4
2207745,316001251,2019-01-01T07:42:44,49.22143,-123.90065,18.7,236.1
2215717,316001251,2019-01-01T07:44:56,49.21493,-123.91499,18.6,233.9
2220775,316001251,2019-01-01T07:46:20,49.21095,-123.92403,18.4,237.2
2234828,316001251,2019-01-01T07:47:44,49.20808,-123.93413,18.9,248.0
2239876,316001251,2019-01-01T07:48:55,49.20569,-123.94313,18.7,248.3
2243204,316001251,2019-01-01T07:49:56,49.20412,-123.94901,11.0,245.7
2248857,316001251,2019-01-01T07:50:58,49.20211,-123.95306,12.3,215.9
2252366,316001251,2019-01-01T07:52:00,49.19891,-123.95467,9.8,188.7
2261529,316001251,2019-01-01T07:53:22,49.19609,-123.95529,6.3,183.7
2265767,316001251,2019-01-01T07:54:32,49.19438,-123.95536,3.8,180.1
2276592,316001251,2019-01-01T07:56:33,49.19371,-123.95537,0.2,269.0
2298623,316001251,2019-01-01T08:00:02,49.1937,-123.95538,0.0,295.2
2420032,316001251,2019-01-01T08:23:22,49.19371,-123.95538,0.0,194.5
2564211,316001251,2019-01-01T08:50:22,49.19371,-123.95538,0.0,267.4
2726673,316001251,2019-01-01T09:17:23,49.1937,-123.95538,0.0,73.9
2888063,316001251,2019-01-01T09:50:21,49.1937,-123.95537,0.0,36.7
2941531,316001251,2019-01-01T10:02:22,49.1937,-123.95537,0.0,173.3
2991459,316001251,2019-01-01T10:11:22,49.19371,-123.95538,0.0,100.1
3012251,316001251,2019-01-01T10:14:22,49.19371,-123.95537,0.0,69.7
3089611,316001251,2019-01-01T10:29:22,49.1937,-123.95538,0.0,18.8
3116890,316001251,2019-01-01T10:35:23,49.19371,-123.95538,0.0,335.8
3150845,316001251,2019-01-01T10:41:23,49.19371,-123.95538,0.0,286.9
3262611,316001251,2019-01-01T11:02:22,49.19371,-123.95539,0.0,302.2
3292854,316001251,2019-01-01T11:08:23,49.19371,-123.95539,0.0,6.7
3339401,316001251,2019-01-01T11:17:23,49.1937,-123.95538,0.0,241.3
3400996,316001251,2019-01-01T11:29:22,49.1937,-123.95538,0.0,231.9
3416026,316001251,2019-01-01T11:32:22,49.19371,-123.95538,0.0,20.7
3436566,316001251,2019-01-01T11:35:23,49.1937,-123.95538,0.0,215.1
3467894,316001251,2019-01-01T11:41:22,49.1937,-123.95538,0.0,281.8
3547543,316001251,2019-01-01T11:56:22,49.19371,-123.95538,0.0,325.0
3560922,316001251,2019-01-01T11:59:22,49.1937,-123.95538,0.0,359.4
3579857,316001251,2019-01-01T12:02:22,49.1937,-123.95538,0.0,154.9
3663982,316001251,2019-01-01T12:17:22,49.1937,-123.95538,0.0,191.4
3836026,316001251,2019-01-01T12:50:21,49.1937,-123.95538,0.0,144.8
3848602,316001251,2019-01-01T12:53:22,49.1937,-123.95538,0.0,330.1
3914794,316001251,2019-01-01T13:05:22,49.19371,-123.95538,0.0,192.4
4025730,316001251,2019-01-01T13:26:13,49.19446,-123.95557,0.0,312.6
4031549,316001251,2019-01-01T13:27:22,49.19445,-123.95557,0.0,279.6
4039003,316001251,2019-01-01T13:28:33,49.19446,-123.95557,0.0,77.7
