,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
193,1457705,316001251,2019-01-01 05:14:08,49.42347,-123.36459,14.6,78.0
194,1466729,316001251,2019-01-01 05:15:14,49.42428,-123.35777,14.9,79.7
195,1472163,316001251,2019-01-01 05:16:26,49.42528,-123.3502,14.9,79.1
196,1477879,316001251,2019-01-01 05:17:38,49.42612,-123.34274,14.9,79.1
197,1482126,316001251,2019-01-01 05:18:55,49.42714,-123.33468,14.8,80.7
198,1492480,316001251,2019-01-01 05:19:56,49.42782,-123.32848,14.6,78.8
199,1493686,316001251,2019-01-01 05:21:55,49.42921,-123.31609,14.7,79.7
200,1499456,316001251,2019-01-01 05:22:58,49.42964,-123.30968,14.5,96.7
201,1503380,316001251,2019-01-01 05:24:06,49.42774,-123.3033,15.2,125.2
202,1515774,316001251,2019-01-01 05:27:08,49.41916,-123.28865,14.9,139.3
203,1527729,316001251,2019-01-01 05:29:56,49.40971,-123.27846,14.7,145.9
204,1531739,316001251,2019-01-01 05:31:18,49.40445,-123.27493,17.4,167.2
205,1531923,316001251,2019-01-01 05:32:32,49.39813,-123.27306,19.5,168.5
206,1555474,316001251,2019-01-01 05:36:38,49.38074,-123.27097,9.9,179.8
207,1561435,316001251,2019-01-01 05:38:08,49.37791,-123.27121,5.0,185.8
208,1567275,316001251,2019-01-01 05:39:38,49.37651,-123.27144,1.5,184.1
209,1583452,316001251,2019-01-01 05:40:41,49.3764,-123.27143,0.4,180.5
210,1588531,316001251,2019-01-01 05:41:50,49.37637,-123.27144,0.0,319.1
211,1595041,316001251,2019-01-01 05:43:41,49.37622,-123.27148,0.0,333.7
212,1604282,316001251,2019-01-01 05:47:30,49.37622,-123.27147,0.0,52.3
213,1620571,316001251,2019-01-01 05:49:51,49.37622,-123.27147,0.0,109.4
214,1631721,316001251,2019-01-01 05:52:20,49.37622,-123.27147,0.0,262.1
216,1638515,316001251,2019-01-01 05:53:40,49.37622,-123.27147,0.0,179.6
215,1637428,316001251,2019-01-01 05:55:01,49.37622,-123.27147,0.0,119.6
219,1657283,316001251,2019-01-01 05:56:19,49.37622,-123.27147,0.0,330.1
217,1647176,316001251,2019-01-01 05:58:10,49.37622,-123.27147,0.0,112.1
218,1650207,316001251,2019-01-01 05:59:19,49.37622,-123.27147,0.0,297.2
220,1661685,316001251,2019-01-01 06:00:19,49.37622,-123.27147,0.0,328.2
221,1667251,316001251,2019-01-01 06:01:29,49.37622,-123.27147,0.0,212.1
222,1674016,316001251,2019-01-01 06:03:20,49.37622,-123.27147,0.0,244.5
225,1699693,316001251,2019-01-01 06:04:29,49.37622,-123.27147,0.0,5.9
223,1685078,316001251,2019-01-01 06:05:39,49.37622,-123.27147,0.0,188.1
224,1697146,316001251,2019-01-01 06:07:39,49.37622,-123.27147,0.0,136.9
226,1704316,316001251,2019-01-01 06:09:03,49.37698,-123.27142,0.0,79.6
227,1712535,316001251,2019-01-01 06:10:30,49.37699,-123.27145,0.1,269.2
228,1722566,316001251,2019-01-01 06:11:50,49.37722,-123.27146,3.4,4.2
229,1728493,316001251,2019-01-01 06:13:11,49.38074,-123.27092,14.5,0.8
230,1733639,316001251,2019-01-01 06:14:14,49.38533,-123.27268,18.1,329.6
231,1738776,316001251,2019-01-01 06:15:16,49.38893,-123.27864,19.2,298.4
236,1770791,316001251,2019-01-01 06:16:18,49.38993,-123.28679,19.2,261.5
232,1748945,316001251,2019-01-01 06:17:20,49.38755,-123.29454,19.6,233.1
233,1756622,316001251,2019-01-01 06:18:44,49.38222,-123.30252,19.0,219.7
234,1760629,316001251,2019-01-01 06:19:46,49.37785,-123.30759,18.8,212.5
235,1765938,316001251,2019-01-01 06:20:56,49.37266,-123.31221,18.8,209.1
237,1780875,316001251,2019-01-01 06:21:57,49.3679,-123.31612,18.7,208.9
240,1794611,316001251,2019-01-01 06:23:08,49.36256,-123.3206,18.7,208.0
238,1788987,316001251,2019-01-01 06:24:10,49.35784,-123.32455,18.7,208.2
239,1792840,316001251,2019-01-01 06:25:20,49.35245,-123.32907,18.7,208.1
241,1798824,316001251,2019-01-01 06:26:32,49.347,-123.33366,18.6,209.3
242,1804511,316001251,2019-01-01 06:27:34,49.34239,-123.33754,18.6,209.0
243,1809620,316001251,2019-01-01 06:28:44,49.33703,-123.34212,18.7,207.5
244,1814651,316001251,2019-01-01 06:29:46,49.33291,-123.34697,18.1,232.8
245,1819628,316001251,2019-01-01 06:30:48,49.33093,-123.35439,19.0,254.6
246,1825353,316001251,2019-01-01 06:31:56,49.32931,-123.36327,19.5,254.5
247,1836984,316001251,2019-01-01 06:32:58,49.32771,-123.37141,19.2,254.0
248,1841363,316001251,2019-01-01 06:34:08,49.32591,-123.38059,18.7,255.7
249,1846823,316001251,2019-01-01 06:35:09,49.32456,-123.38841,18.5,254.2
250,1851799,316001251,2019-01-01 06:36:10,49.32324,-123.39602,18.6,255.4
251,1857540,316001251,2019-01-01 06:37:20,49.32169,-123.40509,18.6,255.9
256,1885598,316001251,2019-01-01 06:38:32,49.32014,-123.41439,18.8,256.9
252,1868608,316001251,2019-01-01 06:39:34,49.31884,-123.42225,18.7,256.5
253,1873119,316001251,2019-01-01 06:40:43,49.31736,-123.43123,18.6,255.6
254,1878096,316001251,2019-01-01 06:41:46,49.31602,-123.43932,18.8,254.8
255,1883179,316001251,2019-01-01 06:42:57,49.3145,-123.44835,18.9,254.9
257,1894807,316001251,2019-01-01 06:43:58,49.31317,-123.45636,18.8,255.3
258,1901520,316001251,2019-01-01 06:45:10,49.31166,-123.46567,18.7,256.4
259,1907075,316001251,2019-01-01 06:46:19,49.31021,-123.47458,18.8,257.0
260,1914490,316001251,2019-01-01 06:47:23,49.30894,-123.48275,18.9,257.3
261,1918896,316001251,2019-01-01 06:48:32,49.30767,-123.49176,18.9,257.9
262,1922052,316001251,2019-01-01 06:49:34,49.30654,-123.49985,18.7,257.2
263,1930117,316001251,2019-01-01 06:50:44,49.30525,-123.50885,18.5,256.5
264,1930710,316001251,2019-01-01 06:51:45,49.30405,-123.51678,18.5,256.9
265,1938335,316001251,2019-01-01 06:52:55,49.30264,-123.52573,18.5,257.3
266,1948120,316001251,2019-01-01 06:53:58,49.30137,-123.53368,18.7,257.0
267,1953784,316001251,2019-01-01 06:55:08,49.29996,-123.5427,18.7,256.7
268,1960420,316001251,2019-01-01 06:56:10,49.2987,-123.5507,18.8,255.6
269,1963887,316001251,2019-01-01 06:57:32,49.29705,-123.5613,18.8,255.7
270,1970955,316001251,2019-01-01 06:58:44,49.2956,-123.5706,18.7,256.0
271,1975412,316001251,2019-01-01 06:59:45,49.29426,-123.57856,18.6,257.1
272,1979025,316001251,2019-01-01 07:00:08,49.29379,-123.58151,18.7,255.4
273,1985007,316001251,2019-01-01 07:01:10,49.29245,-123.58934,18.6,256.5
274,2001052,316001251,2019-01-01 07:02:19,49.29092,-123.59831,18.6,256.0
275,2001877,316001251,2019-01-01 07:03:32,49.28937,-123.60754,18.7,255.6
276,2006112,316001251,2019-01-01 07:04:33,49.28804,-123.6155,18.7,255.4
277,2010158,316001251,2019-01-01 07:05:34,49.28677,-123.6232,18.7,255.4
278,2016887,316001251,2019-01-01 07:06:44,49.28487,-123.63215,18.6,252.5
279,2022019,316001251,2019-01-01 07:07:46,49.28343,-123.63989,18.7,253.7
280,2027358,316001251,2019-01-01 07:08:56,49.28178,-123.64883,18.7,254.6
282,2034311,316001251,2019-01-01 07:09:57,49.28028,-123.65674,18.7,254.6
281,2033602,316001251,2019-01-01 07:11:08,49.27862,-123.6658,18.7,254.2
285,2057706,316001251,2019-01-01 07:12:20,49.27694,-123.67499,18.8,254.0
283,2050277,316001251,2019-01-01 07:13:22,49.27552,-123.68293,18.8,254.0
284,2050744,316001251,2019-01-01 07:14:34,49.27385,-123.69213,18.7,254.4
286,2064940,316001251,2019-01-01 07:15:44,49.27224,-123.70096,18.7,255.1
287,2073981,316001251,2019-01-01 07:16:56,49.27051,-123.71028,18.7,254.6
288,2076021,316001251,2019-01-01 07:17:58,49.26909,-123.71821,18.8,253.6
289,2083202,316001251,2019-01-01 07:19:08,49.26735,-123.72698,18.8,250.9
293,2105035,316001251,2019-01-01 07:20:19,49.26538,-123.73604,18.7,251.0
291,2097757,316001251,2019-01-01 07:21:22,49.26363,-123.74391,18.6,252.0
290,2092186,316001251,2019-01-01 07:22:32,49.26171,-123.75255,18.7,251.8
292,2100527,316001251,2019-01-01 07:23:33,49.26,-123.76033,18.7,251.2
294,2113446,316001251,2019-01-01 07:24:44,49.25804,-123.76924,18.6,251.4
295,2120321,316001251,2019-01-01 07:25:47,49.25619,-123.77696,18.7,248.8
296,2123603,316001251,2019-01-01 07:26:56,49.25413,-123.78554,18.8,248.4
297,2129522,316001251,2019-01-01 07:27:58,49.25223,-123.79322,18.7,249.6
298,2135552,316001251,2019-01-01 07:29:20,49.2497,-123.8035,18.7,249.8
299,2140758,316001251,2019-01-01 07:30:22,49.24777,-123.81116,18.7,249.9
300,2146057,316001251,2019-01-01 07:31:32,49.24559,-123.81983,18.8,248.8
301,2151099,316001251,2019-01-01 07:32:34,49.24366,-123.82752,18.9,248.3
302,2157081,316001251,2019-01-01 07:33:44,49.24146,-123.83619,18.7,249.2
303,2162185,316001251,2019-01-01 07:34:46,49.23942,-123.8438,18.8,245.9
304,2168525,316001251,2019-01-01 07:35:56,49.2371,-123.85221,18.7,246.8
305,2177036,316001251,2019-01-01 07:36:58,49.23475,-123.85962,18.7,244.4
306,2184013,316001251,2019-01-01 07:38:08,49.23211,-123.86808,18.6,245.7
307,2190545,316001251,2019-01-01 07:39:10,49.23005,-123.87563,18.7,247.1
308,2194344,316001251,2019-01-01 07:40:32,49.22718,-123.88556,18.6,246.5
309,2198243,316001251,2019-01-01 07:41:34,49.22489,-123.89282,18.7,239.6
311,2207745,316001251,2019-01-01 07:42:44,49.22143,-123.90065,18.7,236.1
310,2207139,316001251,2019-01-01 07:43:46,49.21846,-123.90733,18.7,235.4
312,2215717,316001251,2019-01-01 07:44:56,49.21493,-123.91499,18.6,233.9
313,2220775,316001251,2019-01-01 07:46:20,49.21095,-123.92403,18.4,237.2
314,2234828,316001251,2019-01-01 07:47:44,49.20808,-123.93413,18.9,248.0
315,2239876,316001251,2019-01-01 07:48:55,49.20569,-123.94313,18.7,248.3
316,2243204,316001251,2019-01-01 07:49:56,49.20412,-123.94901,11.0,245.7
317,2248857,316001251,2019-01-01 07:50:58,49.20211,-123.95306,12.3,215.9
318,2252366,316001251,2019-01-01 07:52:00,49.19891,-123.95467,9.8,188.7
319,2261529,316001251,2019-01-01 07:53:22,49.19609,-123.95529,6.3,183.7
320,2265767,316001251,2019-01-01 07:54:32,49.19438,-123.95536,3.8,180.1
321,2276592,316001251,2019-01-01 07:56:33,49.19371,-123.95537,0.2,269.0
322,2298623,316001251,2019-01-01 08:00:02,49.1937,-123.95538,0.0,295.2
323,2420032,316001251,2019-01-01 08:23:22,49.19371,-123.95538,0.0,194.5
324,2564211,316001251,2019-01-01 08:50:22,49.19371,-123.95538,0.0,267.4
